US_Coastline ,RSL_contribution,Offset_1992_2000,Offset_2000_2005,RSL2005,RSL2020 ,RSL2030,RSL2040 ,RSL2050,RSL2060,RSL2070,RSL2080,RSL2090,RSL2100,RSL2110,RSL2120,RSL2130,RSL2140,RSL2150,Scenario
1,0.049,2,2,0,8,15,21,25,29,33,35,38,46,51,55,60,65,69,2
1,0.041,2,2,0,8,15,21,24,29,33,35,37,46,50,55,59,63,68,2
1,0.033,2,2,0,8,14,21,24,28,32,34,37,45,49,53,58,62,66,2
1,0.147,2,2,0,11,19,27,32,38,44,47,52,64,70,76,82,88,94,2
1,0.133,2,2,0,11,19,26,31,38,43,46,51,63,69,75,80,86,92,2
1,0.061,2,2,0,9,15,22,26,30,34,37,40,48,52,57,61,66,71,2
1,0.052,2,2,0,9,14,21,24,28,32,34,37,44,48,52,56,61,65,2
1,0.043,2,2,0,8,14,20,24,28,31,33,36,42,46,50,54,58,63,2
1,0.034,2,2,0,8,14,20,23,27,30,32,35,42,46,50,54,58,62,2
1,0.027,2,2,0,8,13,20,23,27,30,32,34,42,45,49,53,57,61,2
1,0.02,2,2,0,8,13,19,22,26,29,31,34,41,44,48,52,56,60,2
1,0.014,2,2,0,7,13,19,22,26,29,30,33,40,44,47,51,55,59,2
1,0.032,2,2,0,8,13,20,23,26,29,31,34,41,45,49,52,56,60,2
1,0.025,2,2,0,7,13,19,22,25,28,29,32,39,42,46,50,54,58,2
1,0.023,2,2,0,7,12,18,22,25,28,29,32,38,41,45,49,53,56,2
1,0.018,2,2,0,7,12,18,21,24,27,28,31,37,41,44,48,51,55,2
1,0.013,2,2,0,7,12,18,20,24,26,27,30,36,40,43,46,50,53,2
1,0.009,2,2,0,7,12,17,20,23,26,26,29,35,39,42,45,49,52,2
1,0.006,2,2,0,7,12,17,20,23,25,26,28,34,37,41,44,47,51,2
1,0.057,2,2,0,8,15,22,26,31,35,38,41,49,54,58,63,68,72,2
1,0.047,2,2,0,8,14,21,25,28,32,34,37,42,46,50,54,58,62,2
1,0.039,2,2,0,8,13,20,24,27,30,32,35,40,43,47,51,55,58,2
1,0.032,2,2,0,8,13,20,23,26,30,31,34,39,43,47,50,54,58,2
1,0.06,2,2,0,8,13,20,24,27,31,33,36,42,46,50,54,58,62,2
1,0.054,2,2,0,8,13,19,23,26,30,32,35,40,44,48,52,56,60,2
1,0.045,2,2,0,7,12,19,22,25,29,30,33,38,42,46,49,53,57,2
1,0.036,2,2,0,7,11,18,21,24,27,28,31,36,40,44,47,50,54,2
1,0.027,2,2,0,6,11,17,20,22,26,27,29,34,37,41,44,47,51,2
1,0.02,2,2,0,6,10,16,19,21,24,25,28,32,35,38,42,45,48,2
1,0.015,2,2,0,6,10,16,18,20,24,24,26,30,33,36,39,42,45,2
1,0.048,2,2,0,7,12,19,23,26,31,33,35,40,44,49,52,56,60,2
1,0.092,2,2,0,8,13,21,24,27,33,35,38,43,47,52,56,60,64,2
1,0.106,2,2,0,8,12,17,22,26,30,33,37,44,48,52,57,61,65,2
1,0.107,2,2,0,8,12,16,21,26,29,32,36,43,47,52,56,60,65,2
1,0.095,2,2,0,7,11,15,20,24,28,30,35,41,45,50,53,58,62,2
1,0.076,2,2,0,7,10,14,18,23,26,28,32,39,43,46,50,54,58,2
1,0.057,2,2,0,6,9,13,17,21,24,25,29,36,39,43,46,50,53,2
1,0.042,2,2,0,6,10,16,18,21,25,26,29,33,37,40,43,47,50,2
1,0.099,2,2,0,7,13,22,27,30,36,39,42,46,50,55,59,64,69,2
1,0.088,2,2,0,7,13,22,26,30,36,38,41,45,49,54,58,63,68,2
1,0.075,2,2,0,7,12,21,25,28,34,36,39,43,47,52,56,61,65,2
1,0.104,2,2,0,7,12,20,23,26,32,35,38,44,48,53,57,62,66,2
1,0.105,2,2,0,8,13,20,23,26,32,34,38,44,48,53,57,61,66,2
1,0.093,2,2,0,7,12,19,22,25,31,33,36,42,46,50,54,59,63,2
1,0.074,2,2,0,7,11,18,21,23,29,30,33,39,43,47,51,55,59,2
1,0.056,2,2,0,6,10,17,19,22,27,28,31,36,40,43,47,51,54,2
1,0.041,2,2,0,6,9,16,18,20,24,26,28,33,36,40,43,46,50,2
1,0.03,2,2,0,5,8,15,16,18,23,24,26,31,34,37,40,43,46,2
